USER           PID  PPID NAME                        ARGS                       
root          1331     2 [irq/116-arm-smmu-context-fault] [irq/116-arm-smmu-context-fault]
root          1332     2 [irq/117-arm-smmu-context-fault] [irq/117-arm-smmu-context-fault]
root          1336     2 [irq/118-arm-smmu-context-fault] [irq/118-arm-smmu-context-fault]
root          1340     2 [kworker/R-dsi_post_cmd_tx_workq] [kworker/R-dsi_post_cmd_tx_workq]
root          1343     2 [kworker/R-panel_dim_workq] [kworker/R-panel_dim_workq]
root          1344     2 [kworker/R-panel_rebl_workq] [kworker/R-panel_rebl_workq]
root          1345     2 [kworker/R-panel_aodbl_workq] [kworker/R-panel_aodbl_workq]
root          1347     2 [kworker/R-dsi_post_cmd_tx_workq] [kworker/R-dsi_post_cmd_tx_workq]
root          1348     2 [kworker/R-drm_dp]          [kworker/R-drm_dp]
root          1349     2 [kworker/R-sdm_dp_audio_notify] [kworker/R-sdm_dp_audio_notify]
root          1350     2 [kworker/R-hdcp_1x_1]       [kworker/R-hdcp_1x_1]
root          1351     2 [hdcp_2x]                   [hdcp_2x]
root          1352     2 [dp_hdcp2p2]                [dp_hdcp2p2]
root          1353     2 [crtc_commit:206]           [crtc_commit:206]
root          1354     2 [crtc_event:206]            [crtc_event:206]
root          1355     2 [crtc_commit:285]           [crtc_commit:285]
root          1356     2 [crtc_event:285]            [crtc_event:285]
root          1357     2 [crtc_commit:298]           [crtc_commit:298]
root          1358     2 [crtc_event:298]            [crtc_event:298]
root          1359     2 [crtc_commit:311]           [crtc_commit:311]
root          1360     2 [crtc_event:311]            [crtc_event:311]
root          1361     2 [crtc_commit:324]           [crtc_commit:324]
root          1362     2 [crtc_event:324]            [crtc_event:324]
root          1363     2 [crtc_commit:337]           [crtc_commit:337]
root          1364     2 [crtc_event:337]            [crtc_event:337]
root          1365     2 [crtc_commit:350]           [crtc_commit:350]
root          1366     2 [crtc_event:350]            [crtc_event:350]
root          1367     2 [crtc_commit:363]           [crtc_commit:363]
root          1368     2 [crtc_event:363]            [crtc_event:363]
root          1369     2 [pp_event]                  [pp_event]
root          1370     2 [card0-crtc0]               [card0-crtc0]
root          1371     2 [card0-crtc1]               [card0-crtc1]
root          1372     2 [card0-crtc2]               [card0-crtc2]
root          1373     2 [card0-crtc3]               [card0-crtc3]
root          1374     2 [card0-crtc4]               [card0-crtc4]
root          1375     2 [card0-crtc5]               [card0-crtc5]
root          1376     2 [card0-crtc6]               [card0-crtc6]
